la,nd,ns,ent,nrev,rtime,self,ndev,age,app,rrexp,asawr,rsawr
9,1,1,0.9057125980138372,2.0,1.7804861111111112,0,12.0,8.14514274691358,3.0,82.0,0.0277777777777777,0.2534722222222222
275,5,1,0.5832156330277793,3.0,1.7297337962962962,0,25.0,0.09758101851851853,2.0,272.0,0.1141868512110726,0.6816608996539792
2,1,1,0.0,1.0,1.1881481481481482,0,4.0,8.185914351851851,2.0,105.0,0.2241379310344827,0.3517241379310344
25,2,1,0.4021791902022728,2.0,35.94858796296296,0,23.0,0.5147916666666666,5.0,166.0,0.2302405498281786,0.4501718213058419
19,2,1,0.6098403047164004,2.0,23.100810185185185,0,18.0,7.940775462962963,3.0,186.0,0.2328767123287671,0.5171232876712328
47,2,1,0.5034126981104403,11.0,21.874363425925925,0,2.0,0.0,2.0,131.0,0.0068027210884353,0.3299319727891156
288,7,2,0.6483611699796322,11.0,21.868067129629633,0,30.0,0.11641782407407408,2.0,131.0,0.0034129692832764,0.3276450511945392
29,1,1,0.0,3.0,1.8994444444444445,0,12.0,8.475,3.0,281.0,0.0305084745762711,0.6949152542372882
12,2,1,0.6722948170756379,4.0,4.820648148148148,0,15.0,2.1639699074074072,4.0,59.0,0.0337837837837837,0.1891891891891892
3,1,1,0.0,3.0,1.8474421296296297,0,4.0,0.9376851851851852,2.0,39.0,0.0033670033670033,0.0639730639730639
76,1,1,0.0,5.0,-547.9036226851852,0,11.0,1.9029050925925926,2.0,16.0,0.2307692307692307,0.3076923076923077
11,5,1,0.9115685036857714,1.0,0.03127314814814815,0,28.0,0.36368055555555556,3.0,207.0,0.174496644295302,0.5369127516778524
1776,6,1,0.6231524419658165,6.0,-573.3754398148147,0,2.0,16.391045321637428,1.0,17.0,0.2,0.55
19,2,1,0.9709505944546686,1.0,0.13260416666666666,0,1.0,16.690601851851852,3.0,285.0,0.2374581939799331,0.6588628762541806
6,1,1,0.0,3.0,4.1648958333333335,0,2.0,25.842256944444443,2.0,146.0,0.0066666666666666,0.3466666666666667
272,2,1,0.1545766594036792,1.0,0.17902777777777779,0,21.0,0.7981134259259259,2.0,266.0,0.0897009966777408,0.6212624584717608
63,2,1,0.3175975731748472,1.0,0.12015046296296296,0,25.0,0.20138888888888887,2.0,267.0,0.0927152317880794,0.6225165562913907
617,6,1,0.7322466060162176,21.0,7.663414351851852,0,27.0,4.755368923611111,4.0,161.0,0.066006600660066,0.3399339933993399
0,1,1,0.0,1.0,0.3149652777777778,0,11.0,0.43895833333333334,3.0,59.0,0.2335526315789473,0.1480263157894736
46,3,1,0.9553269964118282,4.0,11.353738425925926,0,25.0,1.846076388888889,4.0,224.0,0.0163934426229508,0.5344262295081967
1,1,1,0.0,3.0,33.870300925925925,0,4.0,1.8893402777777777,4.0,192.0,0.2352941176470588,0.4215686274509804
1,1,1,0.0,1.0,0.13398148148148148,0,21.0,0.7511111111111112,4.0,271.0,0.1107491856677524,0.6286644951140065
35,5,1,0.7412317747915175,1.0,3.100729166666667,0,29.0,0.13749999999999998,2.0,261.0,0.0974025974025974,0.6103896103896104
421,6,1,0.9550959505346588,2.0,0.9415972222222222,0,6.0,9.00028668091168,2.0,81.0,0.2233009708737864,0.2427184466019417
190,3,1,0.7110307793407612,7.0,12.886909722222223,0,24.0,1.9538449074074073,3.0,316.0,0.0032258064516129,0.7225806451612903
10,1,1,0.0,3.0,2.7884375,0,0.0,0.0,1.0,48.0,0.067524115755627,0.1446945337620578
2,1,1,0.0,3.0,31.542326388888892,0,11.0,2.438622685185185,2.0,20.0,0.1428571428571428,0.1428571428571428
0,1,1,0.0,1.0,-579.0055092592593,0,3.0,15.661643518518519,2.0,10.0,0.238095238095238,0.2857142857142857
74,2,1,0.9914606013843204,2.0,36.60680555555556,0,7.0,7.054398148148148,3.0,239.0,0.2156862745098039,0.9117647058823528
2,2,1,1.0,2.0,0.7787384259259259,0,20.0,2.9931249999999996,2.0,107.0,0.0064102564102564,0.2403846153846154
163,7,1,0.8878550740801873,5.0,-571.0038194444445,0,4.0,4.8061342592592595,2.0,43.0,0.2727272727272727,0.9090909090909092
20,1,2,0.3712323266408756,1.0,-573.374525462963,0,11.0,1.2118981481481481,3.0,28.0,0.2666666666666666,0.3333333333333333
0,1,1,0.0,1.0,-575.9778703703704,0,2.0,25.457905092592593,2.0,18.0,0.0869565217391304,0.4782608695652174
